batch 100, train_loss 379.911621,Time used 0.026997s
batch 9000, train_loss 23.689720,Time used 0.045998s
***************************test_batch 9000, test_rmse_loss 5.855658,test_mae_loss 2.705260,test_mape_loss 47.371914,Time used 0.162001s
batch 9100, train_loss 22.907701,Time used 0.046001s
***************************test_batch 9100, test_rmse_loss 5.951442,test_mae_loss 2.732951,test_mape_loss 46.894242,Time used 0.156000s
batch 9200, train_loss 19.728508,Time used 0.045996s
***************************test_batch 9200, test_rmse_loss 5.922292,test_mae_loss 2.720115,test_mape_loss 46.991980,Time used 0.174003s
batch 9300, train_loss 21.110060,Time used 0.056993s
***************************test_batch 9300, test_rmse_loss 5.777048,test_mae_loss 2.672416,test_mape_loss 46.470862,Time used 0.157013s
batch 9400, train_loss 20.831249,Time used 0.054001s
***************************test_batch 9400, test_rmse_loss 5.968881,test_mae_loss 2.730186,test_mape_loss 46.030338,Time used 0.180998s
batch 9500, train_loss 20.702301,Time used 0.048000s
***************************test_batch 9500, test_rmse_loss 5.789446,test_mae_loss 2.674028,test_mape_loss 46.013497,Time used 0.154001s
batch 9600, train_loss 22.120651,Time used 0.057998s
***************************test_batch 9600, test_rmse_loss 5.704637,test_mae_loss 2.641458,test_mape_loss 46.912208,Time used 0.162000s
batch 9700, train_loss 22.923962,Time used 0.053998s
***************************test_batch 9700, test_rmse_loss 5.777898,test_mae_loss 2.664652,test_mape_loss 45.938533,Time used 0.159000s
batch 9800, train_loss 20.723267,Time used 0.052999s
***************************test_batch 9800, test_rmse_loss 5.681143,test_mae_loss 2.631970,test_mape_loss 46.261702,Time used 0.153001s
batch 9900, train_loss 17.132618,Time used 0.054999s
***************************test_batch 9900, test_rmse_loss 5.725244,test_mae_loss 2.638948,test_mape_loss 45.750946,Time used 0.150002s
batch 10000, train_loss 18.145449,Time used 0.049003s
***************************test_batch 10000, test_rmse_loss 5.810496,test_mae_loss 2.665116,test_mape_loss 45.234304,Time used 0.156996s
batch 10100, train_loss 19.494282,Time used 0.051003s
***************************test_batch 10100, test_rmse_loss 5.625949,test_mae_loss 2.603917,test_mape_loss 45.759973,Time used 0.158998s
batch 10200, train_loss 21.591608,Time used 0.044999s
***************************test_batch 10200, test_rmse_loss 5.607026,test_mae_loss 2.589851,test_mape_loss 45.985286,Time used 0.153000s
batch 10300, train_loss 20.382902,Time used 0.049000s
***************************test_batch 10300, test_rmse_loss 5.685127,test_mae_loss 2.621197,test_mape_loss 44.838044,Time used 0.158001s
batch 10400, train_loss 20.328918,Time used 0.052002s
***************************test_batch 10400, test_rmse_loss 5.534261,test_mae_loss 2.568351,test_mape_loss 45.489522,Time used 0.157007s
batch 10500, train_loss 20.096718,Time used 0.058000s
***************************test_batch 10500, test_rmse_loss 5.513244,test_mae_loss 2.555160,test_mape_loss 45.234365,Time used 0.160003s
batch 10600, train_loss 17.953506,Time used 0.047998s
***************************test_batch 10600, test_rmse_loss 5.632452,test_mae_loss 2.596884,test_mape_loss 44.619963,Time used 0.164000s
batch 10700, train_loss 18.029848,Time used 0.048999s
***************************test_batch 10700, test_rmse_loss 5.584253,test_mae_loss 2.575970,test_mape_loss 45.312027,Time used 0.183002s
batch 10800, train_loss 16.559227,Time used 0.052999s
***************************test_batch 10800, test_rmse_loss 5.572922,test_mae_loss 2.570824,test_mape_loss 44.912469,Time used 0.151999s
batch 10900, train_loss 20.559658,Time used 0.073000s
***************************test_batch 10900, test_rmse_loss 5.591371,test_mae_loss 2.575688,test_mape_loss 44.460475,Time used 0.153003s
batch 11000, train_loss 19.687317,Time used 0.048002s
***************************test_batch 11000, test_rmse_loss 5.471222,test_mae_loss 2.534778,test_mape_loss 45.292519,Time used 0.162998s
batch 11100, train_loss 18.436089,Time used 0.053001s
***************************test_batch 11100, test_rmse_loss 5.558611,test_mae_loss 2.565355,test_mape_loss 44.267551,Time used 0.185000s
batch 11200, train_loss 20.249796,Time used 0.050002s
***************************test_batch 11200, test_rmse_loss 5.519902,test_mae_loss 2.548977,test_mape_loss 44.466275,Time used 0.155000s
batch 11300, train_loss 17.519585,Time used 0.059998s
***************************test_batch 11300, test_rmse_loss 5.668587,test_mae_loss 2.601389,test_mape_loss 43.914305,Time used 0.178003s
batch 11400, train_loss 17.593964,Time used 0.052006s
***************************test_batch 11400, test_rmse_loss 5.428416,test_mae_loss 2.517093,test_mape_loss 44.568432,Time used 0.173993s
batch 11500, train_loss 19.249510,Time used 0.056002s
***************************test_batch 11500, test_rmse_loss 5.547395,test_mae_loss 2.553566,test_mape_loss 44.462258,Time used 0.146000s
batch 11600, train_loss 20.296501,Time used 0.044001s
***************************test_batch 11600, test_rmse_loss 5.391078,test_mae_loss 2.507132,test_mape_loss 44.847452,Time used 0.163003s
batch 11700, train_loss 18.182806,Time used 0.047000s
***************************test_batch 11700, test_rmse_loss 5.412794,test_mae_loss 2.507394,test_mape_loss 44.461628,Time used 0.169001s
batch 11800, train_loss 19.369497,Time used 0.053001s
***************************test_batch 11800, test_rmse_loss 5.538188,test_mae_loss 2.553086,test_mape_loss 43.653620,Time used 0.152999s
batch 11900, train_loss 15.615857,Time used 0.075001s
***************************test_batch 11900, test_rmse_loss 5.372242,test_mae_loss 2.498408,test_mape_loss 44.440910,Time used 0.146002s
batch 12000, train_loss 15.758245,Time used 0.047999s
***************************test_batch 12000, test_rmse_loss 5.417392,test_mae_loss 2.507199,test_mape_loss 44.014409,Time used 0.149999s
The total time is 555.288005s
